Source,Target,Relation
DailyO_,yungsav80005333,friend_of_friend
DailyO_,giridharkk_1965,friend_of_friend
DailyO_,kilo_wog,friend_of_friend
DailyO_,annelkumaarr,friend_of_friend
DailyO_,Eleven20900463,friend_of_friend
DailyO_,doitdeepak,friend_of_friend
DailyO_,yuan3,friend_of_friend
DailyO_,SaadInshrah2901,friend_of_friend
DailyO_,reddy1568,friend_of_friend
DailyO_,salonijaju,friend_of_friend
DailyO_,alig_daud,friend_of_friend
@SitaramYechury,vijaita,friend
Jagadis75098116,vijaita,follower_of_friend
IshwarS50576468,vijaita,follower_of_friend
nilay_chaki,vijaita,follower_of_friend
svidya94,vijaita,follower_of_friend
__altamas__,vijaita,follower_of_friend
mharinarayan,vijaita,follower_of_friend
JibhakateDr,vijaita,follower_of_friend
DrFaisalMahmoo2,vijaita,follower_of_friend
Deepakgorakhpu1,vijaita,follower_of_friend
sureshkumarhc,vijaita,follower_of_friend
MartisVinston,vijaita,follower_of_friend
TahreemHanadi,vijaita,follower_of_friend
lu0FAt8n1PSwAkA,vijaita,follower_of_friend
error_4339,vijaita,follower_of_friend
SubradipP,vijaita,follower_of_friend
GauravY93432724,vijaita,follower_of_friend
mayankthakurcg,vijaita,follower_of_friend
SiddhiRahul,vijaita,follower_of_friend
Aarti06623057,vijaita,follower_of_friend
SonuKum67868595,vijaita,follower_of_friend
vijaita,Jagadis75098116,friend_of_friend
vijaita,IshwarS50576468,friend_of_friend
vijaita,nilay_chaki,friend_of_friend
vijaita,svidya94,friend_of_friend
vijaita,__altamas__,friend_of_friend
vijaita,mharinarayan,friend_of_friend
vijaita,JibhakateDr,friend_of_friend
vijaita,DrFaisalMahmoo2,friend_of_friend
vijaita,Deepakgorakhpu1,friend_of_friend
vijaita,sureshkumarhc,friend_of_friend
vijaita,MartisVinston,friend_of_friend
vijaita,TahreemHanadi,friend_of_friend
vijaita,lu0FAt8n1PSwAkA,friend_of_friend
vijaita,error_4339,friend_of_friend
vijaita,SubradipP,friend_of_friend
vijaita,GauravY93432724,friend_of_friend
