Source,Target
Suvajitpaul23,MamataOfficial
tilottamapal,MamataOfficial
NilimeshDas2,MamataOfficial
KAUSIKC06333392,MamataOfficial
NavjotS75918071,MamataOfficial
Upendra_R_07,MahuaMoitra
farhankhan_88,MahuaMoitra
PRASENJ88493509,MahuaMoitra
D7349181464,MahuaMoitra
GHODAKEMUKESH,MahuaMoitra
devdevs1201,MahuaMoitra
GLokesh22,MahuaMoitra
thiruvarun1,MahuaMoitra
DrGurPratapSin1,MahuaMoitra
RamakantPeelwal,MahuaMoitra
jatinderSahni4,MahuaMoitra
Trendsetting123,MahuaMoitra
JUNEDAHMEDMOHA2,MahuaMoitra
delonix___,MahuaMoitra
iquahamad,MahuaMoitra
Darryljrllewis,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
Real_SChoudhary,MahuaMoitra
SayakRoyChowdh3,MahuaMoitra
zamana2,MahuaMoitra
Boss26407842,MahuaMoitra
FarukMa79499879,MahuaMoitra
smartgeek0001,MahuaMoitra
tonyfrancis21,MahuaMoitra
Pain07001762,MahuaMoitra
riyazahmad6828,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
ManpinderD,MahuaMoitra
DeepSee12332302,MahuaMoitra
shekarcm2,MahuaMoitra
BhaskaranSajit,MahuaMoitra
SUN14556990,MahuaMoitra
KomediGoon,MahuaMoitra
Patki1952,MahuaMoitra
iScitaramSays,MahuaMoitra
TrutweinB,MahuaMoitra
satva89886543,MahuaMoitra
reetWaraichh,MahuaMoitra
akasinyadav,MahuaMoitra
MuthuTwenty20,MahuaMoitra
Titir01754174,MahuaMoitra
firosekhan143,MahuaMoitra
mallick_emily,MahuaMoitra
JyothiRajesh4,MahuaMoitra
Dr_RidhiBhatia,MahuaMoitra
Ck75198477,MahuaMoitra
bengali_boss,MahuaMoitra
sajit216,MahuaMoitra
IceSooper,MahuaMoitra
helpless_indian,MahuaMoitra
Hell110Su,MahuaMoitra
rakesh_mallick,MahuaMoitra
MANASKU20832554,MahuaMoitra
ChandrakalaKb,MahuaMoitra
agni_kanya,MahuaMoitra
MdTaufi34943593,MahuaMoitra
Hajra55905128,MahuaMoitra
NasirHu37125332,MahuaMoitra
sandyz7x,MahuaMoitra
KrishK_Goswami,MahuaMoitra
MilanB88,MahuaMoitra
Titir01754174,MahuaMoitra
SaifWasiullah,MahuaMoitra
edgyboi777,MahuaMoitra
Najibul_AITC,MahuaMoitra
k2_iam,MahuaMoitra
dipu002,MahuaMoitra
Patki1952,MahuaMoitra
iScitaramSays,MahuaMoitra
shantandrak,MahuaMoitra
KrishK_Goswami,MahuaMoitra
arshiamirr,MahuaMoitra
Debasis13721,MahuaMoitra
amit02903101,MahuaMoitra
FarukMa79499879,MahuaMoitra
pandey_swarnima,MahuaMoitra
MichaelNijam,MahuaMoitra
JeevanThakur08,MahuaMoitra
imteyazkhizar,MahuaMoitra
sajit216,MahuaMoitra
RahulGajbhiye73,MahuaMoitra
iScitaramSays,MahuaMoitra
Nisar75108462,MahuaMoitra
najmudtarfain,MahuaMoitra
AbdulHa09352940,MahuaMoitra
shantandrak,MahuaMoitra
davidgarapati,MahuaMoitra
BiplabMohini,MahuaMoitra
Titir01754174,MahuaMoitra
AircelHamid,MahuaMoitra
AshrafiAshrafi9,MahuaMoitra
PabitraStudio,MahuaMoitra
Jawaharchin,MahuaMoitra
AshokRo52228439,MahuaMoitra
Abhilash_Fasul,MahuaMoitra
Najibul_AITC,MahuaMoitra
Hasim993,MamataOfficial
ashish_bhunia,MamataOfficial
ashish_bhunia,MamataOfficial
BapiMir5,MamataOfficial
AjoyRakshit5,MamataOfficial
SantuDa05231580,MamataOfficial
SkJaliluddin,MamataOfficial
SouravSekh2,MamataOfficial
JaliluddinSekh3,MamataOfficial
surashbhatta,MamataOfficial
sanjivbarnwal,MahuaMoitra
RoyMansich,MahuaMoitra
SurajSo74479679,MahuaMoitra
REHANRAZAQADRI,MahuaMoitra
ashrafnalakath,MahuaMoitra
Tanveer75506628,MahuaMoitra
VermaDaksha2000,MahuaMoitra
dpsinghvishesh,MahuaMoitra
mistry_rafiq,MahuaMoitra
FarukMa79499879,MahuaMoitra
HENRIFANTHOME,MahuaMoitra
hindi7866,MahuaMoitra
Arindeep3,MahuaMoitra
Sk64123097,MahuaMoitra
SankarB75925284,MahuaMoitra
ZvSyedr,MahuaMoitra
rohit211001,MahuaMoitra
iamniilesh,MahuaMoitra
bakrawala_zaid,MahuaMoitra
GajendraAsk,MahuaMoitra
DeepakSawla,MahuaMoitra
rupsamitra4,MahuaMoitra
