Source,Target,Relation,,
Barnali2021,SomnathSam4,friend_of_follower,,
Barnali2021,majumdar_sushil,friend_of_follower,,
Barnali2021,BhimSha26159551,friend_of_follower,,
Barnali2021,RanaChatterji78,friend_of_follower,,
Barnali2021,arajitsarkaraj,friend_of_follower,,
Barnali2021,TheDrKiran,friend_of_follower,,
Barnali2021,BachharPulak,friend_of_follower,,
ChandraHriti,@DilipGhoshBJP,follower,,
ChandraHriti,JanmenjoyGhosh6,friend_of_follower,,
ChandraHriti,ajayranjana1987,friend_of_follower,,
ChandraHriti,Arindam65142553,friend_of_follower,,
ChandraHriti,infra_shiv,friend_of_follower,,
ChandraHriti,PINAKIB69209434,friend_of_follower,,
ChandraHriti,KonarDolgobinda,friend_of_follower,,
ChandraHriti,suthar839001213,friend_of_follower,,
ChandraHriti,BappaBi35827594,friend_of_follower,,
ChandraHriti,MontuPan4,friend_of_follower,,
ChandraHriti,Kapildev121,friend_of_follower,,
ChandraHriti,SomnathSam4,friend_of_follower,,
ChandraHriti,majumdar_sushil,friend_of_follower,,
ChandraHriti,BhimSha26159551,friend_of_follower,,
ChandraHriti,RanaChatterji78,friend_of_follower,,
ChandraHriti,arajitsarkaraj,friend_of_follower,,
ChandraHriti,TheDrKiran,friend_of_follower,,
ChandraHriti,BachharPulak,friend_of_follower,,
Ajay05061998,@DilipGhoshBJP,follower,,
Sandhan_Sharm,Ajay05061998,follower_of_follower,,
MSDhoni7751,Ajay05061998,follower_of_follower,,
garyhgoodridge,Ajay05061998,follower_of_follower,,
JHernandezi52,Ajay05061998,follower_of_follower,,
compton3pp,Ajay05061998,follower_of_follower,,
Ananblossom,Ajay05061998,follower_of_follower,,
Gokdenizucarr,Ajay05061998,follower_of_follower,,
kebbaraul,Ajay05061998,follower_of_follower,,
Spiritual_Teach,Ajay05061998,follower_of_follower,,
CIBOTech,Ajay05061998,follower_of_follower,,
VikashBhamaniya,Ajay05061998,follower_of_follower,,
rupadash,Ajay05061998,follower_of_follower,,
NoContext_Pics,Ajay05061998,follower_of_follower,,
Jennife44066111,Ajay05061998,follower_of_follower,,
KimberlyWack2,Ajay05061998,follower_of_follower,,
krutial615,Ajay05061998,follower_of_follower,,
PapiDonToni,Ajay05061998,follower_of_follower,,
QuizzFreak,Ajay05061998,follower_of_follower,,
mysilentbravery,Ajay05061998,follower_of_follower,,
Devi_Fede,Ajay05061998,follower_of_follower,,
Ajay05061998,Sandhan_Sharm,friend_of_follower,,
Ajay05061998,MSDhoni7751,friend_of_follower,,
